date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:55	284/284	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Oct%202022%2016:41:55%20GMT	http://edbticdt2023.cs.uoi.gr/robots.txt		(from )
18:41:55	5183/5183	---M-Z	200	added ('OK')	text/html	etag:%22143f-5dd3ddc667900-gzip%22	http://edbticdt2023.cs.uoi.gr/	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/index.html	(from )
18:41:55	213/213	---M-Z	200	added ('OK')	text/css	etag:%22d5-5bf7422f2c3c0-gzip%22	http://edbticdt2023.cs.uoi.gr/css/layout.css	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/css/layout.css	(from http://edbticdt2023.cs.uoi.gr/)
18:41:56	85925/85925	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.5/jquery.min.js	L:/My%20Web%20Sites/EDBT2023/ajax.googleapis.com/ajax/libs/jquery/1.5/jquery.min.js	(from http://edbticdt2023.cs.uoi.gr/)
18:41:58	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu.html	(from http://edbticdt2023.cs.uoi.gr/)
18:41:58	5981/5981	---M-Z	200	added ('OK')	text/css	etag:%22175d-5bf7422f2c3c0-gzip%22	http://edbticdt2023.cs.uoi.gr/css/base.css	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/css/base.css	(from http://edbticdt2023.cs.uoi.gr/css/layout.css)
18:42:00	3010/3010	---M-Z	200	added ('OK')	text/css	etag:%22bc2-5bf7422e38180-gzip%22	http://edbticdt2023.cs.uoi.gr/css/nav_vlist.css	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/css/nav_vlist.css	(from http://edbticdt2023.cs.uoi.gr/css/layout.css)
18:42:00	2019/2019	---M-Z	200	added ('OK')	text/css	etag:%227e3-5bf7422f2c3c0-gzip%22	http://edbticdt2023.cs.uoi.gr/css/basemod.css	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/css/basemod.css	(from http://edbticdt2023.cs.uoi.gr/css/layout.css)
18:42:00	7592/7592	---M-Z	200	added ('OK')	text/css	etag:%221da8-5bf7422e38180-gzip%22	http://edbticdt2023.cs.uoi.gr/css/content.css	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/css/content.css	(from http://edbticdt2023.cs.uoi.gr/css/layout.css)
18:42:00	1697/1697	---M-Z	200	added ('OK')	text/css	etag:%226a1-5bf7422f2c3c0-gzip%22	http://edbticdt2023.cs.uoi.gr/css/print_draft.css	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/css/print_draft.css	(from http://edbticdt2023.cs.uoi.gr/css/layout.css)
18:42:01	35359/35359	---M--	200	added ('OK')	image/png	etag:%228a1f-5d4c50cfb60c0%22	http://edbticdt2023.cs.uoi.gr/images/logos/logo-footer.png	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/images/logos/logo-footer.png	(from http://edbticdt2023.cs.uoi.gr/)
18:42:04	145432/145432	---M--	200	added ('OK')	image/png	etag:%2223818-5dd3dce556600%22	http://edbticdt2023.cs.uoi.gr/images/logos/final_logo_big.png	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/images/logos/final_logo_big.png	(from http://edbticdt2023.cs.uoi.gr/)
18:42:04	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=main.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu6ed6.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:05	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=news.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu457f.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:05	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=venue.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu1bf2.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:05	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=invited_keynotes.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu9bc1.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:05	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=accepted-papers.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menuf804.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:05	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=workshops.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu1e6c.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:06	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=EDBT_cameraready.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menud1b9.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:06	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=important_dates.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu7530.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:06	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=other_calls.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu1055.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
18:42:06	4222/4222	---M-Z	200	added ('OK')	text/html	etag:%22107e-5e9a51625b980-gzip%22	http://edbticdt2023.cs.uoi.gr/contents/menu.html?contents=conference_officers.html	L:/My%20Web%20Sites/EDBT2023/edbticdt2023.cs.uoi.gr/contents/menu1d44.html	(from http://edbticdt2023.cs.uoi.gr/contents/menu.html)
